X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7899862.63985885,-3956321.56068396,21,2024,1656014,2024/12/08 00:00:00+00,Diciembre,8,Domingo,1899/12/30 00:00:00+00,04:40:00,4,REGION METROPOLITANA,CURACAVI,COLISION POR ALCANCE,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, , , ,0,RUTA 68,"24,7",BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,135,13503,Metropolitana de Santiago,Melipilla,Curacaví,Numero,"RUTA 68 km 24,7",-33.4585,-70.965674
-7913568.69145083,-4087419.52234179,22,2024,1656244,2024/12/07 00:00:00+00,Diciembre,7,Sábado,1899/12/30 00:00:00+00,13:20:00,13,REGION LIB.B.O'HIGGINS,SAN VICENTE,COLISION PERPENDICULAR,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GERMAN RIESCO, ,- GERMAN RIESCO,1890, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06117,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,Numero,"GERMAN RIESCO 1890, San Vicente",-34.435422,-71.088797
-7913955.37412911,-4087473.71777466,23,2024,1656266,2024/12/11 00:00:00+00,Diciembre,11,Miércoles,1899/12/30 00:00:00+00,19:50:00,19,REGION LIB.B.O'HIGGINS,SAN VICENTE,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,CENTRAL, ,- CENTRAL,1512, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,06,061,06117,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,Numero,"CENTRAL 1512, San Vicente",-34.435824,-71.092271
-8143506.78785365,-4947827.43410081,24,2024,1656351,2024/11/24 00:00:00+00,Noviembre,24,Domingo,1899/12/30 00:00:00+00,18:50:00,18,REGION LOS LAGOS,OSORNO,CHOQUE FRENTE/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LOS BOLDOS, ,- LOS BOLDOS,948, , ,BIDIRECCIONAL,CONCRETO,REGULAR,SECO,NUBLADO,0,0,0,1,10,103,10301,Los Lagos,Osorno,Osorno,Numero,"LOS BOLDOS 948, Osorno",-40.561165,-73.154366
-7898271.36861448,-4083965.0472464,25,2024,1656621,2024/12/13 00:00:00+00,Diciembre,13,Viernes,1899/12/30 00:00:00+00,13:45:00,13,REGION LIB.B.O'HIGGINS,MALLOA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,SAN PEDRO, ,- SAN PEDRO,315, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06109,Libertador General Bernardo O'Higgins,Cachapoal,Malloa,Numero,"SAN PEDRO 315, Malloa",-34.409824,-70.951379
-7959994.50289728,-3751563.02937898,26,2024,1656730,2024/12/11 00:00:00+00,Diciembre,11,Miércoles,1899/12/30 00:00:00+00,21:00:00,21,REGION COQUIMBO,LOS VILOS,COLISION,COLISION,URBANA,ZONA DE TRANSITO CALMADO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,COSTANERA, ,- COSTANERA,780, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,04,042,04203,Coquimbo,Choapa,Los Vilos,Numero,"COSTANERA 780, Los Vilos",-31.910461,-71.505847
-7877015.72473582,-3963278.24013013,27,2024,1656918,2024/12/15 00:00:00+00,Diciembre,15,Domingo,1899/12/30 00:00:00+00,10:50:00,10,REGION METROPOLITANA,MAIPU,VOLCADURA,VOLCADURA,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,5 DE ABRIL, ,- 5 DE ABRIL,231, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13119,Metropolitana de Santiago,Santiago,Maipú,Numero,"5 DE ABRIL 231, Maipú",-33.510622,-70.760436
-7831108.98185944,-3168839.92053835,28,2024,1657285,2024/12/05 00:00:00+00,Diciembre,5,Jueves,1899/12/30 00:00:00+00,15:20:00,15,REGION ATACAMA,COPIAPO,CHOQUE,CHOQUE,URBANA,CICLOVIA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,COPAYAPU, ,- COPAYAPU,485, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,03,031,03101,Atacama,Copiapó,Copiapó,Numero,"COPAYAPU 485, Copiapó",-27.362541,-70.348049
-8081778.63449783,-4687308.69459675,29,2024,1657891,2024/12/11 00:00:00+00,Diciembre,11,Miércoles,1899/12/30 00:00:00+00,18:20:00,18,REGION ARAUCANIA,PADRE LAS CASAS,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, ,MAQUEHUE,- MAQUEHUE,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,09,091,09112,La Araucanía,Cautín,Padre Las Casas,Numero," , Padre Las Casas",-38.759699,-72.599853
-7827087.8646817,-3169842.61813638,30,2024,1657897,2024/12/18 00:00:00+00,Diciembre,18,Miércoles,1899/12/30 00:00:00+00,11:45:00,11,REGION ATACAMA,COPIAPO,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,TOCORNAL, ,- TOCORNAL,1936, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,03,031,03101,Atacama,Copiapó,Copiapó,Numero,"TOCORNAL 1936, Copiapó",-27.37054,-70.311927
-7864263.5515818,-4030033.70957147,31,2024,1657914,2024/12/05 00:00:00+00,Diciembre,5,Jueves,1899/12/30 00:00:00+00,18:40:00,18,REGION LIB.B.O'HIGGINS,MOSTAZAL,CHOQUE LADO/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR VEHICULO EN RETROCESO,JOSE TORIBIO MEDINA, ,- JOSE TORIBIO MEDINA,235, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06110,Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,Numero,"JOSE TORIBIO MEDINA 235, Mostazal",-34.009172,-70.645881
-8052214.42061937,-4498839.00837847,32,2024,1658210,2024/12/19 00:00:00+00,Diciembre,19,Jueves,1899/12/30 00:00:00+00,07:55:00,7,REGION BIO BIO,LOS ANGELES,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LAS INDUSTRIAS, ,- LAS INDUSTRIAS,4670, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,08,083,08301,Biobío,Biobío,Los Angeles,Numero,"LAS INDUSTRIAS 4670, Los Angeles",-37.427325,-72.334273
-7930788.16777886,-4159238.95631878,33,2024,1658265,2024/12/08 00:00:00+00,Diciembre,8,Domingo,1899/12/30 00:00:00+00,22:10:00,22,REGION MAULE,CURICO,VOLCADURA,VOLCADURA,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ISLAS AUSTRALES, ,- ISLAS AUSTRALES,2235, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,07,073,07301,Maule,Curicó,Curicó,Numero,"ISLAS AUSTRALES 2235, Curicó",-34.965833,-71.243482
-7912797.71131474,-4087772.63228251,34,2024,1658346,2024/12/21 00:00:00+00,Diciembre,21,Sábado,1899/12/30 00:00:00+00,17:30:00,17,REGION LIB.B.O'HIGGINS,SAN VICENTE,COLISION PERPENDICULAR,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GERMAN RIESCO, ,- GERMAN RIESCO,1280, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06117,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,Numero,"GERMAN RIESCO 1280, San Vicente",-34.438038,-71.081871
