X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-8017950.25292221,-4456051.80922049,27,2024,1583373,2024/01/05 00:00:00+00,Enero,5,Viernes,1899/12/30 00:00:00+00,18:20:00,18,REGION NUBLE,YUNGAY,COLISION FRONTAL,COLISION,URBANA,TRAMO DE VIA CURVA HORIZONTAL,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,ANGAMOS, ,- ANGAMOS,910, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,16,161,16109,Ñuble,Diguillín,Yungay,Numero,"ANGAMOS 910, Yungay",-37.121471,-72.026473
-7909339.41394975,-3950713.48661208,28,2024,1583469,2024/01/05 00:00:00+00,Enero,5,Viernes,1899/12/30 00:00:00+00,12:30:00,12,REGION METROPOLITANA,CURACAVI,COLISION LATERAL,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO POR LA BERMA, , , ,0,RUTA 68,"34,8",BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,7,13,135,13503,Metropolitana de Santiago,Melipilla,Curacaví,Numero,"RUTA 68 km 34,8",-33.41646,-71.050805
-7874968.79434011,-3931629.06083922,29,2024,1583526,2024/01/02 00:00:00+00,Enero,2,Martes,1899/12/30 00:00:00+00,08:00:00,8,REGION METROPOLITANA,LAMPA,COLISION POR ALCANCE,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,PANAMERICANA NORTE, ,- PANAMERICANA NORTE,21500, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,13,133,13302,Metropolitana de Santiago,Chacabuco,Lampa,Numero,"PANAMERICANA NORTE 21500, Lampa",-33.273245,-70.742048
-7941544.60064916,-3982403.93475885,30,2024,1583548,2024/01/01 00:00:00+00,Enero,1,Lunes,1899/12/30 00:00:00+00,15:30:00,15,REGION METROPOLITANA,MELIPILLA,IMPACTO CON ANIMAL,OTRO TIPO,RURAL,TRAMO DE VIA RECTA,DEFICIENCIAS VIALES,ANIMALES SUELTOS VIA PUBLICA, , , ,0,RUTA 78,80,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,135,13501,Metropolitana de Santiago,Melipilla,Melipilla,Numero,RUTA 78 km 80,-33.653755,-71.340109
-7935511.4415058,-4076698.87480289,31,2024,1583617,2024/01/09 00:00:00+00,Enero,9,Martes,1899/12/30 00:00:00+00,14:15:00,14,REGION LIB.B.O'HIGGINS,PICHIDEGUA,VOLCADURA,VOLCADURA,URBANA,TRAMO DE VIA RECTA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,ARTURO PRAT, ,- ARTURO PRAT,56, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06113,Libertador General Bernardo O'Higgins,Cachapoal,Pichidegua,Numero,"ARTURO PRAT 56, Pichidegua",-34.355955,-71.285912
-7888192.12782891,-4083018.95109495,32,2024,1583624,2024/01/09 00:00:00+00,Enero,9,Martes,1899/12/30 00:00:00+00,08:00:00,8,REGION LIB.B.O'HIGGINS,RENGO,VOLCADURA,VOLCADURA,RURAL,TRAMO DE VIA RECTA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,CERRILLOS, ,- CERRILLOS,455, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06115,Libertador General Bernardo O'Higgins,Cachapoal,Rengo,Numero,"CERRILLOS 455, Rengo",-34.402812,-70.860836
-7875967.34125995,-4007688.62680348,33,2024,1583786,2024/01/04 00:00:00+00,Enero,4,Jueves,1899/12/30 00:00:00+00,18:40:00,18,REGION METROPOLITANA,RENCA,COLISION LATERAL,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE, , , ,0,RUTA 5 SUR,"46,5",UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13128,Metropolitana de Santiago,Santiago,Renca,Numero,"RUTA 5 SUR km 46,5",-33.842615,-70.751018
-8053731.74102357,-4505352.1663896,34,2024,1583811,2024/01/06 00:00:00+00,Enero,6,Sábado,1899/12/30 00:00:00+00,15:50:00,15,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,LOS CARRERA, ,- LOS CARRERA,145, , ,BIDIRECCIONAL,RIPIO,REGULAR, ,DESPEJADO,0,1,0,1,08,083,08301,Biobío,Biobío,Los Angeles,Numero,"LOS CARRERA 145, Los Angeles",-37.473774,-72.347903
-8091085.41243849,-4509259.04483733,35,2024,1583817,2024/01/07 00:00:00+00,Enero,7,Domingo,1899/12/30 00:00:00+00,14:00:00,14,REGION BIO BIO,NACIMIENTO,CHOQUE,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LEONCIO GALLEGOS, ,- LEONCIO GALLEGOS,1407, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,1,0,08,083,08306,Biobío,Biobío,Nacimiento,Numero,"LEONCIO GALLEGOS 1407, Nacimiento",-37.501622,-72.683457
-7851695.75203571,-3948726.16521063,36,2024,1583839,2024/01/08 00:00:00+00,Enero,8,Lunes,1899/12/30 00:00:00+00,22:25:00,22,REGION METROPOLITANA,LAS CONDES,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,CAMINO EL ALBA, ,- CAMINO EL ALBA,9610, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13114,Metropolitana de Santiago,Santiago,Las Condes,Numero,"CAMINO EL ALBA 9610, Las Condes",-33.401558,-70.532983
